2024-06-27 14:08:15 status half-installed libtirpc-common:all 1.3.2-2build1
2024-06-27 14:08:15 status unpacked libtirpc-common:all 1.3.2-2build1
2024-06-27 14:08:15 install libtirpc3:arm64 <none> 1.3.2-2build1
2024-06-27 14:08:15 status half-installed libtirpc3:arm64 1.3.2-2build1
2024-06-27 14:08:15 status unpacked libtirpc3:arm64 1.3.2-2build1
2024-06-27 14:08:15 install libudev1:arm64 <none> 249.11-0ubuntu3
2024-06-27 14:08:15 status half-installed libudev1:arm64 249.11-0ubuntu3
2024-06-27 14:08:15 status unpacked libudev1:arm64 249.11-0ubuntu3
2024-06-27 14:08:15 install libuuid1:arm64 <none> 2.37.2-4ubuntu3
2024-06-27 14:08:15 status half-installed libuuid1:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:15 status unpacked libuuid1:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:15 install libzstd1:arm64 <none> 1.4.8+dfsg-3build1
2024-06-27 14:08:15 status half-installed libzstd1:arm64 1.4.8+dfsg-3build1
2024-06-27 14:08:15 status unpacked libzstd1:arm64 1.4.8+dfsg-3build1
2024-06-27 14:08:15 install login:arm64 <none> 1:4.8.1-2ubuntu2
2024-06-27 14:08:15 status half-installed login:arm64 1:4.8.1-2ubuntu2
2024-06-27 14:08:16 status unpacked login:arm64 1:4.8.1-2ubuntu2
2024-06-27 14:08:16 install logsave:arm64 <none> 1.46.5-2ubuntu1
2024-06-27 14:08:16 status half-installed logsave:arm64 1.46.5-2ubuntu1
2024-06-27 14:08:16 status unpacked logsave:arm64 1.46.5-2ubuntu1
2024-06-27 14:08:16 install lsb-base:all <none> 11.1.0ubuntu4
2024-06-27 14:08:16 status half-installed lsb-base:all 11.1.0ubuntu4
2024-06-27 14:08:16 status unpacked lsb-base:all 11.1.0ubuntu4
2024-06-27 14:08:16 upgrade mawk:arm64 1.3.4.20200120-3 1.3.4.20200120-3
2024-06-27 14:08:16 status half-configured mawk:arm64 1.3.4.20200120-3
2024-06-27 14:08:16 status unpacked mawk:arm64 1.3.4.20200120-3
2024-06-27 14:08:16 status half-installed mawk:arm64 1.3.4.20200120-3
2024-06-27 14:08:16 status unpacked mawk:arm64 1.3.4.20200120-3
2024-06-27 14:08:16 install mount:arm64 <none> 2.37.2-4ubuntu3
2024-06-27 14:08:16 status half-installed mount:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:16 status unpacked mount:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:16 install ncurses-base:all <none> 6.3-2
2024-06-27 14:08:16 status half-installed ncurses-base:all 6.3-2
2024-06-27 14:08:16 status unpacked ncurses-base:all 6.3-2
2024-06-27 14:08:16 install ncurses-bin:arm64 <none> 6.3-2
2024-06-27 14:08:16 status half-installed ncurses-bin:arm64 6.3-2
2024-06-27 14:08:16 status unpacked ncurses-bin:arm64 6.3-2
2024-06-27 14:08:16 install passwd:arm64 <none> 1:4.8.1-2ubuntu2
2024-06-27 14:08:16 status half-installed passwd:arm64 1:4.8.1-2ubuntu2
2024-06-27 14:08:16 status unpacked passwd:arm64 1:4.8.1-2ubuntu2
2024-06-27 14:08:16 upgrade perl-base:arm64 5.34.0-3ubuntu1 5.34.0-3ubuntu1
2024-06-27 14:08:16 status half-configured perl-base:arm64 5.34.0-3ubuntu1
2024-06-27 14:08:16 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2024-06-27 14:08:16 status half-installed perl-base:arm64 5.34.0-3ubuntu1
2024-06-27 14:08:16 status unpacked perl-base:arm64 5.34.0-3ubuntu1
2024-06-27 14:08:16 install procps:arm64 <none> 2:3.3.17-6ubuntu2
2024-06-27 14:08:16 status half-installed procps:arm64 2:3.3.17-6ubuntu2
2024-06-27 14:08:16 status unpacked procps:arm64 2:3.3.17-6ubuntu2
2024-06-27 14:08:16 install sed:arm64 <none> 4.8-1ubuntu2
2024-06-27 14:08:16 status half-installed sed:arm64 4.8-1ubuntu2
2024-06-27 14:08:16 status unpacked sed:arm64 4.8-1ubuntu2
2024-06-27 14:08:16 install sensible-utils:all <none> 0.0.17
2024-06-27 14:08:16 status half-installed sensible-utils:all 0.0.17
2024-06-27 14:08:16 status unpacked sensible-utils:all 0.0.17
2024-06-27 14:08:16 install sysvinit-utils:arm64 <none> 3.01-1ubuntu1
2024-06-27 14:08:16 status half-installed sysvinit-utils:arm64 3.01-1ubuntu1
2024-06-27 14:08:16 status unpacked sysvinit-utils:arm64 3.01-1ubuntu1
2024-06-27 14:08:16 install tar:arm64 <none> 1.34+dfsg-1build3
2024-06-27 14:08:16 status half-installed tar:arm64 1.34+dfsg-1build3
2024-06-27 14:08:16 status unpacked tar:arm64 1.34+dfsg-1build3
2024-06-27 14:08:16 install usrmerge:all <none> 25ubuntu2
2024-06-27 14:08:16 status half-installed usrmerge:all 25ubuntu2
2024-06-27 14:08:16 status unpacked usrmerge:all 25ubuntu2
2024-06-27 14:08:16 install util-linux:arm64 <none> 2.37.2-4ubuntu3
2024-06-27 14:08:16 status half-installed util-linux:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:16 status unpacked util-linux:arm64 2.37.2-4ubuntu3
2024-06-27 14:08:16 install zlib1g:arm64 <none> 1:1.2.11.dfsg-2ubuntu9
2024-06-27 14:08:16 status half-installed zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2024-06-27 14:08:16 status unpacked zlib1g:arm64 1:1.2.11.dfsg-2ubuntu9
2024-06-27 14:08:17 startup packages configure
2024-06-27 14:08:17 configure lsb-base:all 11.1.0ubuntu4 <none>
2024-06-27 14:08:17 status unpacked lsb-base:all 11.1.0ubuntu4
2024-06-27 14:08:17 status half-configured lsb-base:all 11.1.0ubuntu4
2024-06-27 14:08:17 status installed lsb-base:all 11.1.0ubuntu4
2024-06-27 14:08:17 configure libtirpc-common:all 1.3.2-2build1 <none>
2024-06-27 14:08:17 status unpacked libtirpc-common:all 1.3.2-2build1
2024-06-27 14:08:17 status half-configured libtirpc-common:all 1.3.2-2build1
2024-06-27 14:08:17 status installed libtirpc-common:all 1.3.2-2build1
2024-06-27 14:08:17 configure libaudit-common:all 1:3.0.7-1build1 <none>
2024-06-27 14:08:17 status unpacked libaudit-common:all 1:3.0.7-1build1
2024-06-27 14:08:17 status half-configured libaudit-common:all 1:3.0.7-1build1
2024-06-27 14:08:17 status installed libaudit-common:all 1:3.0.7-1build1
2024-06-27 14:08:17 configure libsemanage-common:all 3.3-1build2 <none>
2024-06-27 14:08:17 status unpacked libsemanage-common:all 3.3-1build2
2024-06-27 14:08:17 status half-configured libsemanage-common:all 3.3-1build2
2024-06-27 14:08:17 status installed libsemanage-common:all 3.3-1build2
2024-06-27 14:08:17 configure gcc-12-base:arm64 12-20220319-1ubuntu1 <none>
2024-06-27 14:08:17 status unpacked gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-27 14:08:17 status half-configured gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-27 14:08:17 status installed gcc-12-base:arm64 12-20220319-1ubuntu1
2024-06-27 14:08:17 configure ncurses-base:all 6.3-2 <none>
2024-06-27 14:08:17 status unpacked ncurses-base:all 6.3-2
2024-06-27 14:08:17 status half-configured ncurses-base:all 6.3-2
2024-06-27 14:08:17 status installed ncurses-base:all 6.3-2
2024-06-27 14:08:17 configure sensible-utils:all 0.0.17 <none>
2024-06-27 14:08:17 status unpacked sensible-utils:all 0.0.17
2024-06-27 14:08:17 status half-configured sensible-utils:all 0.0.17
2024-06-27 14:08:17 status installed sensible-utils:all 0.0.17
